# HV Crate (0 - ...),HV slot (0 - ...),HV channel (0 - ...),FPGA (0 - 3),DAC chain (0 - 2),PaDiWa channel (0 - 15),Layer (0 - ...),Module number in this layer (0 - 23),Position (0 -> right/down or 1 -> left/up)
0,0,0,1,0,8,1,0,0
0,0,1,1,0,9,1,1,0
0,0,2,1,0,10,1,2,0
0,0,3,1,0,11,1,3,0
0,0,4,1,0,12,1,4,0
0,0,5,1,0,13,1,5,0
0,0,6,1,0,14,1,6,0
0,0,7,1,0,15,1,7,0
0,0,8,1,1,8,1,8,0
0,0,9,1,1,9,1,9,0
0,0,10,1,1,10,1,10,0
0,0,11,1,1,11,1,11,0
0,0,12,1,1,12,1,12,0
0,0,13,1,1,13,1,13,0
0,0,14,1,1,14,1,14,0
0,0,15,1,1,15,1,15,0
0,0,16,1,2,8,1,16,0
0,0,17,1,2,9,1,17,0
0,0,18,1,2,10,1,18,0
0,0,19,1,2,11,1,19,0
0,0,20,1,2,12,1,20,0
0,0,21,1,2,13,1,21,0
0,0,22,1,2,14,1,22,0
0,0,23,1,2,15,1,23,0
0,2,0,1,0,0,1,0,1
0,2,1,1,0,1,1,1,1
0,2,2,1,0,2,1,2,1
0,2,3,1,0,3,1,3,1
0,2,4,1,0,4,1,4,1
0,2,5,1,0,5,1,5,1
0,2,6,1,0,6,1,6,1
0,2,7,1,0,7,1,7,1
0,2,8,1,1,0,1,8,1
0,2,9,1,1,1,1,9,1
0,2,10,1,1,2,1,10,1
0,2,11,1,1,3,1,11,1
0,2,12,1,1,4,1,12,1
0,2,13,1,1,5,1,13,1
0,2,14,1,1,6,1,14,1
0,2,15,1,1,7,1,15,1
0,2,16,1,2,0,1,16,1
0,2,17,1,2,1,1,17,1
0,2,18,1,2,2,1,18,1
0,2,19,1,2,3,1,19,1
0,2,20,1,2,4,1,20,1
0,2,21,1,2,5,1,21,1
0,2,22,1,2,6,1,22,1
0,2,23,1,2,7,1,23,1
0,6,0,2,0,8,2,0,0
0,6,1,2,0,9,2,1,0
0,6,2,2,0,10,2,2,0
0,6,3,2,0,11,2,3,0
0,6,4,2,0,12,2,4,0
0,6,5,2,0,13,2,5,0
0,6,6,2,0,14,2,6,0
0,6,7,2,0,15,2,7,0
0,6,8,2,1,8,2,8,0
0,6,9,2,1,9,2,9,0
0,6,10,2,1,10,2,10,0
0,6,11,2,1,11,2,11,0
0,6,12,2,1,12,2,12,0
0,6,13,2,1,13,2,13,0
0,6,14,2,1,14,2,14,0
0,6,15,2,1,15,2,15,0
0,6,16,2,2,8,2,16,0
0,6,17,2,2,9,2,17,0
0,6,18,2,2,10,2,18,0
0,6,19,2,2,11,2,19,0
0,6,20,2,2,12,2,20,0
0,6,21,2,2,13,2,21,0
0,6,22,2,2,14,2,22,0
0,6,23,2,2,15,2,23,0
0,4,0,2,0,0,2,0,1
0,4,1,2,0,1,2,1,1
0,4,2,2,0,2,2,2,1
0,4,3,2,0,3,2,3,1
0,4,4,2,0,4,2,4,1
0,4,5,2,0,5,2,5,1
0,4,6,2,0,6,2,6,1
0,4,7,2,0,7,2,7,1
0,4,8,2,1,0,2,8,1
0,4,9,2,1,1,2,9,1
0,4,10,2,1,2,2,10,1
0,4,11,2,1,3,2,11,1
0,4,12,2,1,4,2,12,1
0,4,13,2,1,5,2,13,1
0,4,14,2,1,6,2,14,1
0,4,15,2,1,7,2,15,1
0,4,16,2,2,0,2,16,1
0,4,17,2,2,1,2,17,1
0,4,18,2,2,2,2,18,1
0,4,19,2,2,3,2,19,1
0,4,20,2,2,4,2,20,1
0,4,21,2,2,5,2,21,1
0,4,22,2,2,6,2,22,1
0,4,23,2,2,7,2,23,1
1,2,0,0,0,0,0,0,1
1,2,1,0,0,1,0,1,1
1,2,2,0,0,2,0,2,1
1,2,3,0,0,3,0,3,1
1,2,4,0,0,4,0,4,1
1,2,5,0,0,5,0,5,1
1,2,6,0,0,6,0,6,1
1,2,7,0,0,7,0,7,1
1,2,8,0,1,0,0,8,1
1,2,9,0,1,1,0,9,1
1,2,10,0,1,2,0,10,1
1,2,11,0,1,3,0,11,1
1,2,12,0,1,4,0,12,1
1,2,13,0,1,5,0,13,1
1,2,14,0,1,6,0,14,1
1,2,15,0,1,7,0,15,1
1,2,16,0,2,0,0,16,1
1,2,17,0,2,1,0,17,1
1,2,18,0,2,2,0,18,1
1,2,19,0,2,3,0,19,1
1,2,20,0,2,4,0,20,1
1,2,21,0,2,5,0,21,1
1,2,22,0,2,6,0,22,1
1,2,23,0,2,7,0,23,1
1,6,0,0,0,8,0,0,0
1,6,1,0,0,9,0,1,0
1,6,2,0,0,10,0,2,0
1,6,3,0,0,11,0,3,0
1,6,4,0,0,12,0,4,0
1,6,5,0,0,13,0,5,0
1,6,6,0,0,14,0,6,0
1,6,7,0,0,15,0,7,0
1,6,8,0,1,8,0,8,0
1,6,9,0,1,9,0,9,0
1,6,10,0,1,10,0,10,0
1,6,11,0,1,11,0,11,0
1,6,12,0,1,12,0,12,0
1,6,13,0,1,13,0,13,0
1,6,14,0,1,14,0,14,0
1,6,15,0,1,15,0,15,0
1,6,16,0,2,8,0,16,0
1,6,17,0,2,9,0,17,0
1,6,18,0,2,10,0,18,0
1,6,19,0,2,11,0,19,0
1,6,20,0,2,12,0,20,0
1,6,21,0,2,13,0,21,0
1,6,22,0,2,14,0,22,0
1,6,23,0,2,15,0,23,0



