# HV Crate (0 - ...),HV slot (0 - ...),HV channel (0 - ...),FPGA (0 - 3),DAC chain (0 - 2),PaDiWa channel (0 - 15),Layer (0 - ...),Module number in this layer (0 - 23),Position (0 -> right/down or 1 -> left/up)
0,0, 0,0,0, 0,0,0,0
0,0, 2,0,0, 1,0,1,0
0,0, 4,0,0, 2,0,2,0
0,0, 6,0,0, 3,0,3,0
0,0, 8,0,0, 4,0,4,0
0,0,10,0,0, 5,0,5,0
0,0,12,0,0, 6,0,6,0
0,0,14,0,0, 7,0,7,0
0,0,15,0,0, 8,0,0,1
0,0,13,0,0, 9,0,1,1
0,0,11,0,0,10,0,2,1
0,0, 9,0,0,11,0,3,1
0,0, 7,0,0,12,0,4,1
0,0, 5,0,0,13,0,5,1
0,0, 3,0,0,14,0,6,1
0,0, 1,0,0,15,0,7,1
