# HIME channel, voltage (V)
48,1145
56,1315
49,1105
57,1168
59,1195
52,1215
61,1115
#54,1442
55,1015
64,1159
72,1224
65,1258
73,1211
66,1142
75,1327
68,1120
76,1136
69,1224
77,1316
78,1365
79,1215
80,1305
88,1015
81,1057
89,1104
82,1144
90,1234
91,1161
84,1131
92,1132
85,1148
86,1231
94,1183
87,1141
95,1146
96,1135
97,1089
105,1324
106,1131
107,1145
108,1180
101,1243
109,1190
110,1163
103,1159
111,1115
112,1288
113,1188
121,1106
114,1309
122,1143
115,1118
123,1113
124,1173
117,1315
125,1145
118,1172
126,1157
119,1189
128,1083
136,1278
129,1126
#138,1325
139,1098
140,1185
133,1162
141,1131
134,1090
# manual
50,1078
58,921
60,932
53,1077
54,867
62,925
63,988
74,982
67,989
75,850
70,850
71,1031
83,975
104,1076
98,1059
99,1029
100,1135
102,1059
120,1010
116,850
127,965
137,1049
130,1037
138,906
131,1046
132,1040
142,1074
135,1110
143,1080
51,900
