# HIME channel,voltage
48,1145
56,1315
49,1105
57,1168
59,1195
52,1215
61,1115
#54,1442
55,1015
64,1159
72,1224
65,1258
73,1211
66,1142
75,1327
68,1120
76,1136
69,1174
77,1266
78,1390
79,1215
80,1305
88,1015
81,1057
89,1104
82,1144
90,1234
91,1161
84,1131
92,1132
85,1123
86,1231
94,1183
87,1141
95,1146
96,1135
97,1014
105,1399
106,1181
107,1245
108,1180
101,1243
109,1190
110,1213
103,1159
111,1115
112,1388
113,1238
121,1056
114,1400
122,1093
115,1118
123,1113
124,1323
117,1215
125,1045
118,1172
126,1157
119,1289
128,983
136,1178
129,1126
#138,1325
139,1098
140,1260
133,1162
141,1131
134,1090
# manual,0
50,1078
58,921
60,932
53,1077
54,867
62,925
63,988
74,982
67,989
70,900
71,1031
83,975
104,1076
98,1059
99,1004
100,1135
102,1034
120,935
116,800
127,915
137,1049
130,1137
138,831
131,1046
132,1015
142,1074
135,1110
143,1080
51,900
93,950
